time,.layout.dim,.layout.data_offset,.data,,,,,
1970/01/01/01:00:06.680000,[],0,1.1919083260702685e-18, -2.4655156979670083e-20, -7.220160007476807, 7.305634128467765e-21, 1.859193504500118e-19, 3.187188938712757e-19
1970/01/01/01:00:06.690000,[],0,1.1438320718808037e-18, -4.683861104732649e-20, -7.220160007476807, 1.2448921200493882e-20, 1.7828206940249213e-19, 3.056264083827571e-19
1970/01/01/01:00:06.700000,[],0,1.0966030574337463e-18, -6.857371222034641e-20, -7.220160007476807, 1.7488097414231257e-20, 1.707797092676981e-19, 2.927651974236295e-19
1970/01/01/01:00:06.710000,[],0,1.0502089784174846e-18, -8.986725404262787e-20, -7.220160007476807, 2.242474200610327e-20, 1.6341030549167489e-19, 2.8013195227144266e-19
1970/01/01/01:00:06.720000,[],0,1.0046376339179835e-18, -1.107259444319508e-19, -7.220160007476807, 2.7260412402106994e-20, 1.5617195814395305e-19, 2.677233642037464e-19
1970/01/01/01:00:06.730000,[],0,9.878335631715453e-19, 1.9530059964743176e-19, -7.220160007476807, -2.287954755575252e-20, 1.5366446351457511e-19, 2.634247909036439e-19
1970/01/01/01:00:06.740000,[],0,9.712667898633333e-19, 4.951870725127127e-19, -7.220160007476807, -7.201441521470048e-20, 1.5119174924501562e-19, 2.591858521558276e-19
1970/01/01/01:00:06.750000,[],0,9.549342120660503e-19, 7.890263381123481e-19, -7.220160007476807, -1.2015938355614402e-19, 1.4875337589557415e-19, 2.550057724784733e-19
1970/01/01/01:00:06.760000,[],0,9.388327278523994e-19, 1.0769098516028135e-18, -7.220160007476807, -1.6732944845985992e-19, 1.463488911018532e-19, 2.5088380223915087e-19
1970/01/01/01:00:06.770000,[],0,8.5509128908300365e-19, 1.1586418101703765e-18, -7.220160007476807, -1.7618233604101162e-19, 1.3210816260083735e-19, 2.2647114327269093e-19
1970/01/01/01:00:06.780000,[],0,7.729391227642637e-19, 1.2386233511642007e-18, -7.220160007476807, -1.8484053891018073e-19, 1.1813904660877153e-19, 2.0252408359352179e-19
1970/01/01/01:00:06.790000,[],0,4.648031259512032e-19, 1.2228203757541048e-18, -7.220160007476807, -1.8350707206395697e-19, 7.091540883569575e-20, 1.2156927413614944e-19
1970/01/01/01:00:06.800000,[],0,1.6278331551205676e-19, 1.207211270800076e-18, -7.220160007476807, -1.8218191579794995e-19, 2.4629147642401545e-20, 4.2221395496806325e-20
1970/01/01/01:00:06.810000,[],0,-1.3321235824571615e-19, 1.1917936581578533e-18, -7.220160007476807, -1.8086504426276553e-19, -2.073385074031277e-20, -3.554374412625046e-20
1970/01/01/01:00:06.820000,[],0,-4.2327478179191983e-19, 1.1765651596831755e-18, -7.220160007476807, -1.7955643160900957e-19, -6.518751913588988e-20, -1.1175003280438266e-19
1970/01/01/01:00:06.820000,[],0,-3.2499295541991386e-19, 1.094272993045761e-18, -7.220160007476807, -1.6855074186020325e-19, -4.82121735350392e-20, -8.264943757620354e-20
1970/01/01/01:00:06.840000,[],0,-2.2864422429005016e-19, 1.0135172109985871e-18, -7.220160007476807, -1.5774831882223477e-19, -3.157151296484572e-20, -5.4122595500406526e-20
1970/01/01/01:00:06.850000,[],0,-1.341996370808894e-19, 9.342751694723853e-19, -7.220160007476807, -1.4714616396538362e-19, -1.526051133373589e-20, -2.616087772610948e-20
1970/01/01/01:00:06.850000,[],0,-4.16305138896307e-20, 8.565245862894049e-19, -7.220160007476807, -1.3674133045871757e-19, 7.2579681485919845e-22, 1.2442231256120825e-21
1970/01/01/01:00:06.870000,[],0,4.909139220917491e-20, 7.802433343682601e-19, -7.220160007476807, -1.265309231700927e-19, 1.6392306053622973e-20, 2.8101096091925096e-20
1970/01/01/01:00:06.880000,[],0,1.4322323406095674e-19, 6.416572877459727e-19, -7.220160007476807, -1.0575831772561212e-19, 3.144151313052991e-20, 5.389973494880884e-20
1970/01/01/01:00:06.890000,[],0,2.3545812458595573e-19, 5.057787583649362e-19, -7.220160007476807, -8.539057841688503e-20, 4.618658916065583e-20, 7.917701091288836e-20
1970/01/01/01:00:06.900000,[],0,3.258247372246242e-19, 3.7256726607392384e-19, -7.220160007476807, -6.542166294803067e-20, 6.063214502968086e-20, 1.0394082743642266e-19
